Country,WB_Code,Region,Rank,CPI_Score
Denmark,DNK,EU,1,92
New Zealand,NZL,AP,2,91
Finland,FIN,EU,3,89
Sweden,SWE,EU,4,87
Norway,NOR,EU,5,86
Switzerland,CHE,EU,5,86
Singapore,SGP,AP,7,84
Netherlands,NLD,EU,8,83
Luxembourg,LUX,EU,9,82
Canada,CAN,AM,10,81
Australia,AUS,AP,11,80
Germany,DEU,EU,12,79
Iceland,ISL,EU,12,79
United Kingdom,GBR,EU,14,78
Belgium,BEL,EU,15,76
Japan,JPN,AP,15,76
Barbados,BRB,AM,17,74
Hong Kong,HKG,AP,17,74
Ireland,IRL,EU,17,74
United States,USA,AM,17,74
Chile,CHL,AM,21,73
Uruguay,URY,AM,21,73
Austria,AUT,EU,23,72
Bahamas,BHS,AM,24,71
United Arab Emirates,ARE,ME,25,70
Estonia,EST,EU,26,69
France,FRA,EU,26,69
Qatar,QAT,ME,26,69
Saint Vincent and the Grenadines,VCT,AM,29,67
Bhutan,BTN,AP,30,65
Botswana,BWA,AF,31,63
Cyprus,CYP,EU,31,63
Portugal,PRT,EU,31,63
Puerto Rico,PRI,AM,31,63
Poland,POL,EU,35,61
Taiwan,TWN,AP,35,61
Israel,ISR,ME,37,60
Spain,ESP,EU,37,60
Dominica,DMA,AM,39,58
Lithuania,LTU,EU,39,58
Slovenia,SVN,EU,39,58
Cape Verde,CPV,AF,42,57
Korea (South),KOR,AP,43,55
Latvia,LVA,EU,43,55
Malta,MLT,EU,43,55
Seychelles,SYC,AF,43,55
Costa Rica,CRI,AM,47,54
Hungary,HUN,EU,47,54
Mauritius,MUS,AF,47,54
Georgia,GEO,EE,50,52
Malaysia,MYS,AP,50,52
Samoa,WSM,AP,50,52
Czech Republic,CZE,EU,53,51
Slovakia,SVK,EU,54,50
Bahrain,BHR,ME,55,49
Jordan,JOR,ME,55,49
Lesotho,LSO,AF,55,49
Namibia,NAM,AF,55,49
Rwanda,RWA,AF,55,49
Saudi Arabia,SAU,ME,55,49
Croatia,HRV,EU,61,48
Ghana,GHA,AF,61,48
Cuba,CUB,AM,63,46
Oman,OMN,ME,64,45
The FYR of Macedonia,MKD,EE,64,45
Turkey,TUR,EE,64,45
Kuwait,KWT,ME,67,44
South Africa,ZAF,AF,67,44
Brazil,BRA,AM,69,43
Bulgaria,BGR,EU,69,43
Greece,GRC,EU,69,43
Italy,ITA,EU,69,43
Romania,ROM,EU,69,43
Senegal,SEN,AF,69,43
Swaziland,SWZ,AF,69,43
Montenegro,MON,EE,76,42
Sao Tome and Principe,STP,AF,76,42
Serbia,SCG,EE,78,41
Tunisia,TUN,ME,79,40
Benin,BEN,AF,80,39
Bosnia and Herzegovina,BIH,EE,80,39
El Salvador,SLV,AM,80,39
Mongolia,MNG,AP,80,39
Morocco,MAR,ME,80,39
Burkina Faso,BFA,AF,85,38
India,IND,AP,85,38
Jamaica,JAM,AM,85,38
Peru,PER,AM,85,38
Philippines,PHL,AP,85,38
Sri Lanka,LKA,AP,85,38
Thailand,THA,AP,85,38
Trinidad and Tobago,TTO,AM,85,38
Zambia,ZMB,AF,85,38
Armenia,ARM,EE,94,37
Colombia,COL,AM,94,37
Egypt,EGY,ME,94,37
Gabon,GAB,AF,94,37
Liberia,LBR,AF,94,37
Panama,PAN,AM,94,37
Algeria,DZA,ME,100,36
China,CHN,AP,100,36
Suriname,SUR,AM,100,36
Bolivia,BOL,AM,103,35
Mexico,MEX,AM,103,35
Moldova,MDA,EE,103,35
Niger,NER,AF,103,35
Argentina,ARG,AM,107,34
Djibouti,DJI,AF,107,34
Indonesia,IDN,AP,107,34
Albania,ALB,EE,110,33
Ecuador,ECU,AM,110,33
Ethiopia,ETH,AF,110,33
Kosovo,LWI,EE,110,33
Malawi,MWI,AF,110,33
C™te d«Ivoire,CIV,AF,115,32
Dominican Republic,DOM,AM,115,32
Guatemala,GTM,AM,115,32
Mali,MLI,AF,115,32
Belarus,BLR,EE,119,31
Mozambique,MOZ,AF,119,31
Sierra Leone,SLE,AF,119,31
Tanzania,TZA,AF,119,31
Vietnam,VNM,AP,119,31
Guyana,GUY,AM,124,30
Mauritania,MRT,AF,124,30
Azerbaijan,AZE,EE,126,29
Gambia,GMB,AF,126,29
Honduras,HND,AM,126,29
Kazakhstan,KAZ,EE,126,29
Nepal,NPL,AP,126,29
Pakistan,PAK,AP,126,29
Togo,TGO,AF,126,29
Madagascar,MDG,AF,133,28
Nicaragua,NIC,AM,133,28
Timor-Leste,TLS,AP,133,28
Cameroon,CMR,AF,136,27
Iran,IRN,ME,136,27
Kyrgyzstan,KGZ,EE,136,27
Lebanon,LBN,ME,136,27
Nigeria,NGA,AF,136,27
Russia,RUS,EE,136,27
Comoros,COM,AF,142,26
Uganda,UGA,AF,142,26
Ukraine,UKR,EE,142,26
Bangladesh,BGD,AP,145,25
Guinea,GIN,AF,145,25
Kenya,KEN,AF,145,25
Laos,LAO,AP,145,25
Papua New Guinea,PNG,AP,145,25
Central African Republic,CAF,AF,150,24
Paraguay,PRY,AM,150,24
Congo Republic,COG,AF,152,23
Tajikistan,TJK,EE,152,23
Chad,TCD,AF,154,22
Democratic Republic of the Congo,COD,AF,154,22
Cambodia,KHM,AP,156,21
Myanmar,MMR,AP,156,21
Zimbabwe,ZWE,AF,156,21
Burundi,BDI,AF,159,20
Syria,SYR,ME,159,20
Angola,AGO,AF,161,19
Guinea-Bissau,GNB,AF,161,19
Haiti,HTI,AM,161,19
Venezuela,VEN,AM,161,19
Yemen,YEM,ME,161,19
Eritrea,ERI,AF,166,18
Libya,LBY,ME,166,18
Uzbekistan,UZB,EE,166,18
Turkmenistan,TKM,EE,169,17
Iraq,IRQ,ME,170,16
South Sudan,SSD,AF,171,15
Afghanistan,AFG,AP,172,12
Sudan,SDN,ME,173,11
Korea (North),PRK,AP,174,8
Somalia,SOM,AF,174,8
