Country,Score
Finland,174
Germany,174
Sweden,174
United States,174
United Kingdom,174
Canada,173
Denmark,173
Belgium,172
France,172
Italy,172
Japan,172
Korea,172
Luxembourg,172
Netherlands,172
Portugal,172
Spain,172
Austria,171
Ireland,171
Norway,171
New Zealand,170
Singapore,170
Switzerland,170
Greece,169
Australia,168
Malaysia,167
Malta,167
Iceland,165
Czech Rep.,162
Hungary,162
Liechtenstein,161
Slovakia,161
Slovenia,160
Latvia,158
Cyprus,157
Estonia,157
Lithuania,157
Poland,157
Hong Kong,156
San Marino,151
Argentina,150
Brunei,150
Monaco,150
Bulgaria,149
Chile,149
Andorra,148
Romania,148
Israel,147
Brazil,146
Bahamas,138
Barbados,138
Croatia,138
Mexico,133
Uruguay,133
Antigua and Barbuda,132
Taiwan,132
St. Kitts and Nevis,132
Vatican City,131
Venezuela,131
Seychelles,129
Costa Rica,125
Mauritius,125
Panama,124
Paraguay,123
Macao,122
Honduras,116
Guatemala,114
El Salvador,112
Nicaragua,110
Serbia,107
Macedonia,106
Trinidad and Tobago,103
Russia,100
Turkey,100
Montenegro,99
St. Lucia,98
South Africa,97
Bosnia and Herz.,95
St. Vicent and the Grenadines,94
Belize,93
Albania,91
Dominica,91
Grenada,91
Moldova,89
Solomon Islands,87
Samoa,85
Tuvalu,85
Maldives,84
Peru,83
Tonga,83
Kiribati,82
Vanuatu,82
Fiji,81
Guyana,81
Nauru,81
Jamaica,79
Marshall Islands,79
Ukraine,79
Ecuador,78
Kuwait,78
Papua New Guinea,78
United Arab Emirates,77
Micronesia,75
Qatar,75
Bolivia,74
Palau,74
Botswana,73
Lesotho,72
Suriname,72
Kenya,71
Namibia,71
Gambia,70
Swaziland,70
Bahrain,69
Malawi,69
Thailand,69
Zambia,67
Colombia,66
Kazakhstan,66
Oman,66
Tanzania,66
Saudi Arabia,65
Sierra Leone,65
Tunisia,64
Uganda,64
Belarus,63
Ghana,63
Georgia,62
Philippines,62
Cuba,61
Zimbabwe,61
Azerbaijan,58
Benin,58
Kyrgyzstan,58
Cape Verde,57
Senegal,57
Cxf4te d'Ivoire,56
Indonesia,56
Armenia,55
Burkina Faso,55
Mauritania,55
Morocco,55
Guinea,54
Mali,54
Niger,54
Sao Tome & Principe,54
Togo,54
Uzbekistan,54
Dominican Rep.,53
Tajikistan,53
India,52
Bhutan,51
Mongolia,51
Mozambique,51
Timor-Leste,51
Cambodia,50
Guinea-Bissau,49
Haiti,49
Madagascar,49
Turkmenistan,49
Central African Rep.,48
Egypt,48
Lao PDR,48
Liberia,48
Chad,47
Gabon,47
Vietnam,47
Algeria,46
Cameroon,46
Rwanda,46
China,45
Comoros,45
Jordan,45
Congo,44
Eq. Guinea,43
Yemen,43
Angola,42
Bangladesh,42
Burundi,42
Djibouti,42
Myanmar,42
Dem. Rep. Korea,42
Dem. Rep. Congo,40
Iran,40
Kosovo,40
Ethiopia,39
Lebanon,39
S. Sudan,39
Sri Lanka,39
Eritrea,38
Libya,38
Sudan,38
Syria,38
Nepal,37
Palestine,35
Pakistan,32
Somalia,32
Iraq,31
Afghanistan,28
