Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,78617570.32,89406659.51,113414331.9,150841699.1,186557164,220112850.8,227284165.9,253998069.1,308020384.4,411548246.8,446377494.9,388983013.9,375914742.9,327849949,330073024.9,346742901.7,481996232.9,611300198.5,721426027.5,795489398,1028989439,1106890943,1209992604,1007090896,1017544619,1178745262,1224023470,1180646037,1211953954,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818043,4583648922,5285461999,6275076016,7057597615,9843851009,10190534636,12486950469,15936784436,17870159082,20506795254,20724663537,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,6804278063,6355849179,7383121654,7975234067,9283054576,10260193361,12193746625,5779394292,5285600050,4059577145,5039534776,7526446606,7648377413,6445041825,6152922943,9129594819,8936079253,12497346043,14188949240,19640862550,28233699240,41789494462,60448890972,84178086999,75492417649,82470894868,1.04116E+11,1.15332E+11,1.21704E+11,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452572.7,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10701011856,12881352688,12044212904,11926953259,12890867763,12344532541,12903854876,
Andean Region,ANR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,34291175545,38079857055,41571213467,48203285875,58066549841,73920201408,1.39501E+11,1.5386E+11,1.90474E+11,2.20223E+11,2.41374E+11,3.18907E+11,4.28929E+11,4.61083E+11,4.21844E+11,3.94632E+11,3.93719E+11,3.86206E+11,3.65685E+11,3.89036E+11,3.73746E+11,3.91737E+11,4.40702E+11,4.3348E+11,4.64076E+11,4.69809E+11,4.80353E+11,5.15609E+11,5.69477E+11,6.05221E+11,5.87522E+11,6.34239E+11,7.26482E+11,7.13592E+11,7.23968E+11,8.15604E+11,9.59516E+11,1.17605E+12,1.39879E+12,1.63824E+12,2.07875E+12,1.79204E+12,2.10758E+12,2.50122E+12,2.76441E+12,2.85084E+12,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,14720672892,19213022856,24871774866,23775831263,31225462774,43598747467,49333424084,46622718557,42803323301,41807954192,40603650189,33943612060,36384908706,36275674166,41464995871,50701443696,51552165569,54239171831,55625170196,59305093918,65743666508,73571233920,78839008363,75674338445,84445475523,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.54803E+11,2.87422E+11,3.48595E+11,3.83799E+11,,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,24450604878,18272123664,25605249382,28344705968,28630474726,24256667555,26436857248,31256284545,31584210365,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28779E+11,2.36754E+11,3.11852E+11,3.12569E+11,3.29671E+11,3.54758E+11,3.62134E+11,3.43448E+11,3.44273E+11,3.25488E+11,1.23607E+11,1.56989E+11,1.83296E+11,2.22908E+11,2.6449E+11,3.29761E+11,4.06004E+11,3.78496E+11,4.62704E+11,5.57727E+11,6.03153E+11,6.09889E+11,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206301700,11662040714,8647936748,9260287416,10142342770,9958217880,10432169571,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462954.8,137951855.3,153270373.6,173511108,201862965.3,245896292,286474069,338696290.3,373403703,391570363.5,410388899.4,423762955.5,456537023,500088880.1,494185188.3,541074082.3,579851829.8,620037014.2,651851840.3,787693391.3,778311556.5,806505874.3,849234753.9,905113766.5,1001970945,1141418340,1289259236,1347407407,1206296296,1135555556,1127037037,1194074074,1230000000,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,19689774891,19923843656,21542165976,23803337440,25978273043,27305409340,30440138873,32709149961,36681599283,41330496136,45212229813,52035046729,63818065343,88959469418,97278437799,1.05026E+11,1.1032E+11,1.18458E+11,1.34859E+11,1.49958E+11,1.76885E+11,1.94047E+11,1.77256E+11,1.93594E+11,1.80552E+11,1.82505E+11,1.89719E+11,2.36924E+11,3.00881E+11,3.11394E+11,3.25582E+11,3.2539E+11,3.11965E+11,3.22831E+11,3.68222E+11,4.0158E+11,4.35829E+11,3.99523E+11,3.88868E+11,4.15208E+11,3.78642E+11,3.94442E+11,4.66663E+11,6.13161E+11,6.93663E+11,7.47463E+11,8.53855E+11,1.05551E+12,9.2671E+11,1.14179E+12,1.38689E+12,1.53241E+12,1.5606E+12,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15215058932,17675002528,21832965362,29212217262,34827754652,39647626537,42518592468,51016162684,61414715247,73177642820,81215814720,70304401244,70542983786,71380023748,67286843408,68673874036,98018638125,1.22893E+11,1.31969E+11,1.31738E+11,1.64753E+11,1.72009E+11,1.93074E+11,1.88424E+11,2.01444E+11,2.38562E+11,2.34676E+11,2.07826E+11,2.1333E+11,2.12302E+11,1.92071E+11,1.91679E+11,2.07537E+11,2.53946E+11,2.9143E+11,3.04984E+11,3.24954E+11,3.75042E+11,4.14171E+11,3.83734E+11,3.7768E+11,4.15984E+11,3.94458E+11,4.15672E+11,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20982270733,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,202999992.3,213500006.4,232749998.1,260750008.3,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612.1,925030590.3,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723,825394484.4,784654423.6,915257323.4,1117254387,1273180655,1356078300,1611634286,1739781536,2026864414,2355652064,2472384813,2718232385,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26381124884,29458668479,36756500047,47162657848,55351036497,64878745421,70248275973,81831567541,1.00014E+11,1.149E+11,1.25286E+11,1.03455E+11,90974923323,86123021068,82334988808,85218196227,1.18558E+11,1.47576E+11,1.60324E+11,1.62222E+11,2.02832E+11,2.07949E+11,2.31924E+11,2.21986E+11,2.41903E+11,2.8452E+11,2.75797E+11,2.49767E+11,2.55599E+11,2.54504E+11,2.32673E+11,2.32486E+11,2.52795E+11,3.1169E+11,3.61683E+11,3.7735E+11,3.99966E+11,4.59619E+11,5.07379E+11,4.73254E+11,4.71218E+11,5.13318E+11,4.82918E+11,5.08116E+11,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,235668220.8,236434954.3,253927697.4,269819005.9,289908680.3,302925235.6,306221953.3,326323105.8,330748244,333627713.3,335073028,410331856.3,504376073.9,554654861.5,676870139.2,698408261,750049780.1,928843468.5,1186231019,1405251844,1291120191,1267778671,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965331,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5506275948,6633561835,6585134688,6558416322,7294900431,7543183759,8307019675,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,350247235,379567099.6,394040667.6,410321645,422916789.3,433889767.1,450753923.9,460442689.7,478298644.7,458404268.6,482411179.6,578595521.1,674773569.6,751133431.6,939972701.8,976547187.1,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834946,2616040481,2615587730,3101300779,3135045586,2240264677,2332018011,1895290638,2379517976,2586550594,2447669100,2804902369,3014665572,2610959139,2812845486,3205592273,4205691122,4838551014,5462709055,5844669738,6755823933,8350710389,8348156389,9209288383,10395757480,10726305450,11582556068,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4817580182,5081413345,5319458349,5386054613,5906636554,6439687606,7253575403,7483685483,8471006092,8992721807,8751842837,6288245866,8067027104,12459282561,19395903916,10083163547,9632469659,13299358553,15585961410,18114645161,19762945710,18087000000,17155798869,19670160944,21613230769,21160234384,23781404932,25638749373,26825240347,30128776344,30957444767,31708863730,33166530060,33768661427,37939752960,40666015641,42318798538,44091754148,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89356650349,1.0036E+11,1.11906E+11,1.16034E+11,1.29857E+11,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,20039628408,20056237269,19804095243,16959385327,17411160328,17562123540,20261212354,28429026656,23002459532,21746813404,20726300435,10943548724,10371900499,10831999517,9704877673,13069094969,8890316778,10053469055,13060786998,13228374466,12903546765,13868600710,15979194511,20668176834,25283228366,28895083540,33209188739,42113656147,51824892678,48568714012,47726575741,53542780661,51303659418,53009839848,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,3072698346,3467819353,3645744806,3735106511,3905585155,3651861912,3052393636,3392021223,3702393659,3863564047,4229787379,4616223477,4751063992,5200266050,5567553552,5849468115,6101861656,6349202600,6183941092,6621186419,9063147901,8976446420,9632411109,11075116594,13150516509,15969151306,18505250857,21730590263,25711147929,22938464723,25713547869,29044378668,30362317939,32788114767,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,190096176.6,212252822.2,237742768.5,266664053.7,300392162.5,340000006.4,390196085.7,444901969.1,528137296.2,538423199.5,573400000,590899968,670899968,632400000,596200000,642099968,713000000,832400000,1139800064,1335299968,1426499968,1578300032,1732800000,2041100032,2320699904,2472499968,2713999872,2817900032,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7888087000,7872584000,8149004000,,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465,1866572993,2786045392,3671816538,4116699576,4685729743,5505984456,5748990555,6651226179,8370020196,10022840635,10948051122,12400102623,15280615815,18543289395,17082889410,16775919279,18252896439,16853238733,17827710271,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49208656976,55220932614,59734593905,63615445567,71709513654,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,29965035.39,31857563,33750090.61,36194610.8,40069931.54,44405596.03,47379308.79,44910180.79,47305390.44,53233534.3,59207317.59,66062499.02,78343558.51,103216372,118066302.1,96905828.77,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550016,314900000,363150016,413049984,444720726.5,518143678.5,559759653.3,580760211.3,620031771.9,641271333.4,654198121.1,688872472.7,732607993.8,831750000,871840755.4,932676403.2,990350000,1057850000,1114200000,1217450000,1290500000,1369500000,1338500000,1398500000,1489000000,1572500000,1604500000,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5473536000,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,612518907.2,669722540.4,721142960.4,812543073.8,908874535.9,994044552.9,1084059818,908874535.9,964615702.6,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606678,5594118401,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549196256,11451845341,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15236854859,19926293839,23021477292,21211892260,21790035102,27062716511,30591834045,33875881906,37458898265,42327600116,49204456712,58539008796,79279057736,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,4.07338E+11,3.90567E+11,4.383E+11,5.46233E+11,7.68951E+11,8.39683E+11,8.712E+11,8.43827E+11,5.86863E+11,6.44702E+11,5.53582E+11,5.04221E+11,5.52469E+11,6.6376E+11,8.82186E+11,1.08892E+12,1.36682E+12,1.65351E+12,1.62019E+12,2.14307E+12,2.47669E+12,2.24878E+12,2.24567E+12,
